"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071826","GO:0071826","protein-RNA complex organization","53/1101","240/18860",0.220833333333333,3.7828489252195,10.80311871931,2.1463922545871e-17,1.13672933802933e-13,9.5345003309027e-14,"U2AF2/DDX39B/SF1/KLC1/SFSWAP/PRPF6/USP39/NVL/DHX30/PSIP1/HSP90AB1/SRSF5/CD2BP2/PTGES3/SF3B5/SNU13/FAU/SRSF9/RPS15/PRKDC/LUC7L3/EIF3C/EIF3CL/SF3B1/DICER1/EIF3B/SCAF11/SF3B4/ZNHIT6/DKC1/RUVBL1/USP4/EIF4B/CELF2/TAF9/EIF3H/SRSF6/LUC7L/NUFIP1/SETX/ABT1/EIF3D/DHX9/RRS1/SRSF1/CELF3/VCP/SRPK2/HSP90AA1/EIF3G/ATR/CLNS1A/EIF5",53
"GO:0022618","GO:0022618","protein-RNA complex assembly","51/1101","231/18860",0.220779220779221,3.78192198355686,10.5925348409295,8.79261750803995e-17,2.32828511612898e-13,1.95288662546993e-13,"U2AF2/DDX39B/SF1/SFSWAP/PRPF6/USP39/NVL/DHX30/PSIP1/HSP90AB1/SRSF5/CD2BP2/PTGES3/SF3B5/SNU13/FAU/SRSF9/RPS15/PRKDC/LUC7L3/EIF3C/EIF3CL/SF3B1/DICER1/EIF3B/SCAF11/SF3B4/ZNHIT6/DKC1/RUVBL1/USP4/EIF4B/CELF2/TAF9/EIF3H/SRSF6/LUC7L/NUFIP1/SETX/ABT1/EIF3D/DHX9/RRS1/SRSF1/CELF3/SRPK2/HSP90AA1/EIF3G/ATR/CLNS1A/EIF5",51
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","79/1101","496/18860",0.159274193548387,2.72834812926665,9.71252514628871,2.54555700139568e-16,4.49375662646384e-13,3.76921071785606e-13,"U2AF2/KRR1/ESF1/DDX39B/SF1/EIF5B/SFSWAP/PRPF6/USP39/NVL/DHX30/NOP56/PSIP1/HSP90AB1/SRSF5/CD2BP2/PWP1/PTGES3/SF3B5/SNU13/FAU/SRSF9/NAT10/RPS15/PRKDC/LUC7L3/EIF3C/EIF3CL/SF3B1/EIF1AX/DICER1/EIF3B/POP4/WDR46/RBM10/SCAF11/NHP2/SF3B4/ZNHIT6/DKC1/RUVBL1/USP4/EIF4B/CELF2/TAF9/AK6/EIF3H/EXOSC4/USP36/RAN/SRSF6/RPLP0/LUC7L/NUFIP1/SETX/DDX27/NOL8/ABT1/ISG20L2/EIF3D/DHX9/RPL7A/MRM3/RRS1/SRSF1/GTF3A/CELF3/TSR2/SRPK2/RIOK3/HSP90AA1/EIF3G/RPL35A/ZNF593/RIOK2/ATR/CUL4A/CLNS1A/EIF5",79
"GO:0009060","GO:0009060","aerobic respiration","55/1101","297/18860",0.185185185185185,3.1722003565782,9.39502108466451,1.72009276793004e-14,2.27740282473937e-11,1.91020828438547e-11,"NDUFA10/STOML2/PARK7/PDHA1/NDUFA13/MACROH2A1/GAPDH/UQCR10/EP300/PFKM/NDUFA1/ZBTB7A/UCHL1/NDUFA6/GPI/TMEM135/NDUFV2/ATP5PO/ENO2/COX6B1/ALDOC/NDUFS5/IDH3A/ATP5F1B/PDP1/NDUFV1/NDUFS7/GHITM/DLD/NDUFB8/MDH2/ACO2/COX4I1/RAN/UQCRC2/ATP7A/OGDHL/NDUFAB1/ATP5F1C/ALDOA/APP/NDUFS3/ACO1/VCP/SNCA/PINK1/ENO1/ATP5MG/PRKAG1/FLCN/UQCRC1/MTCH2/ADSL/SDHA/ATP5F1A",55
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","60/1101","348/18860",0.172413793103448,2.95342791819349,9.15807250653284,3.11056281036682e-14,3.29470812874053e-11,2.76348948626273e-11,"RBM25/KHSRP/SRRM2/U2AF2/HNRNPL/RBM39/DDX39B/CIRBP/NOVA1/U2AF1/SF1/SRRM1/SFSWAP/PRPF6/USP39/PABPC1/HNRNPU/SRSF7/PSIP1/SRSF5/CD2BP2/HNRNPA3/SRSF2/SFPQ/ZBTB7A/SF3B5/SNU13/SRSF9/SAP18/LUC7L3/SF3B1/TRA2A/TIA1/RBM10/SCAF11/NCL/SF3B4/METTL3/PQBP1/USP4/IK/CELF2/SYNCRIP/HSPA8/SNRPN/SRSF6/LUC7L/SETX/SRSF4/QKI/HNRNPH1/DHX9/SRSF1/CELF3/SRPK2/PRPF40A/SON/DAZAP1/LSM3/CLNS1A",60
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","59/1101","344/18860",0.171511627906977,2.93797393490062,9.03227814425689,6.48679436356709e-14,4.90772327849305e-11,4.11643191191777e-11,"RBM25/SRRM2/U2AF2/HNRNPL/RBM39/DDX39B/CIRBP/NOVA1/U2AF1/SF1/SRRM1/SFSWAP/PRPF6/USP39/PABPC1/HNRNPU/SRSF7/PSIP1/SRSF5/CD2BP2/HNRNPA3/SRSF2/SFPQ/ZBTB7A/SF3B5/SNU13/SRSF9/SAP18/LUC7L3/SF3B1/TRA2A/TIA1/RBM10/SCAF11/NCL/SF3B4/METTL3/PQBP1/USP4/IK/CELF2/SYNCRIP/HSPA8/SNRPN/SRSF6/LUC7L/SETX/SRSF4/QKI/HNRNPH1/DHX9/SRSF1/CELF3/SRPK2/PRPF40A/SON/DAZAP1/LSM3/CLNS1A",59
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","59/1101","344/18860",0.171511627906977,2.93797393490062,9.03227814425689,6.48679436356709e-14,4.90772327849305e-11,4.11643191191777e-11,"RBM25/SRRM2/U2AF2/HNRNPL/RBM39/DDX39B/CIRBP/NOVA1/U2AF1/SF1/SRRM1/SFSWAP/PRPF6/USP39/PABPC1/HNRNPU/SRSF7/PSIP1/SRSF5/CD2BP2/HNRNPA3/SRSF2/SFPQ/ZBTB7A/SF3B5/SNU13/SRSF9/SAP18/LUC7L3/SF3B1/TRA2A/TIA1/RBM10/SCAF11/NCL/SF3B4/METTL3/PQBP1/USP4/IK/CELF2/SYNCRIP/HSPA8/SNRPN/SRSF6/LUC7L/SETX/SRSF4/QKI/HNRNPH1/DHX9/SRSF1/CELF3/SRPK2/PRPF40A/SON/DAZAP1/LSM3/CLNS1A",59
"GO:0006163","GO:0006163","purine nucleotide metabolic process","69/1101","454/18860",0.151982378854626,2.60344020453973,8.61082419758405,2.19648868268751e-13,1.45407550793913e-10,1.21962924222912e-10,"NDUFA10/STOML2/NDUFA13/MACROH2A1/TALDO1/ATP1B1/GAPDH/EP300/PFKM/NDUFA1/NUDT2/NMNAT2/ZBTB7A/UCHL1/NDUFA6/GPI/FIS1/ATP5MJ/TKT/ADCY2/ATIC/NDUFV2/GUCY1B1/LDHB/ATP6V1A/ATP5PO/ENO2/PARP1/DNPH1/ALDOC/NDUFS5/MTHFD1/LETMD1/ATP5F1B/NDUFV1/NDUFS7/GOT1/IMPDH2/PDE4C/HSPA8/NDUFB8/MDH2/RAN/ATP7A/SLC25A12/OGDHL/NDUFAB1/ATP5F1C/RHOQ/ALDOA/APP/NDUFS3/ACO1/VCP/PINK1/PGD/DNM1L/SLC4A7/TP53/ENO1/ATP5MG/NUDT3/PRKAG1/FLCN/MTCH2/PRPS1/ADSL/SDHA/ATP5F1A",69
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","72/1101","494/18860",0.145748987854251,2.4966629527077,8.39312959977,5.39305935508213e-13,3.17351581605722e-10,2.66183748285925e-10,"NDUFA10/STOML2/PARK7/PDHA1/NDUFA13/MACROH2A1/TALDO1/NR1D1/GAPDH/UQCR10/EP300/PPP1R3D/PFKM/NDUFA1/PYGB/ZBTB7A/UCHL1/NDUFA6/GPI/ENOX2/TMEM135/TKT/NDUFV2/ATP5PO/ENO2/COX6B1/SLC25A4/ALDOC/NDUFS5/IDH3A/ATP5F1B/PDP1/NDUFV1/NDUFS7/GHITM/PPARD/PPP1CA/HMGB1/DLD/NDUFB8/MDH2/ACO2/COX4I1/RAN/UQCRC2/ATP7A/OGDHL/NDUFAB1/IL6ST/ATP5F1C/ATG12/ALDOA/APP/NDUFS3/ACO1/VCP/SNCA/PINK1/PGD/TP53/ENO1/ATP5MG/MT3/SORBS1/PRKAG1/FLCN/UQCRC1/MCHR1/MTCH2/ADSL/SDHA/ATP5F1A",72
"GO:0046034","GO:0046034","ATP metabolic process","46/1101","241/18860",0.190871369294606,3.26960401897935,8.82925730346917,8.02129399980557e-13,4.24807730229703e-10,3.56314322938732e-10,"NDUFA10/STOML2/NDUFA13/ATP1B1/GAPDH/EP300/PFKM/NDUFA1/NUDT2/ZBTB7A/UCHL1/NDUFA6/GPI/FIS1/ATP5MJ/NDUFV2/ATP6V1A/ATP5PO/ENO2/PARP1/ALDOC/NDUFS5/LETMD1/ATP5F1B/NDUFV1/NDUFS7/HSPA8/NDUFB8/RAN/ATP7A/OGDHL/NDUFAB1/ATP5F1C/ALDOA/APP/NDUFS3/VCP/PINK1/DNM1L/ENO1/ATP5MG/PRKAG1/FLCN/MTCH2/SDHA/ATP5F1A",46
