"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"2802","AFFX-DapX-3_at",12.5384293552835,7.32611987728023,31.2187807125825,2.61099015871698e-21,1.42755886927851e-16,32.6106444698761,NA,NA
"2816","AFFX-r2-Bs-dap-3_at",12.2562915226025,7.53647253798622,24.5416245397187,8.14033464365869e-19,2.22536398321019e-14,29.225934781218,NA,NA
"2825","AFFX-r2-Bs-thr-3_s_at",11.0119809327772,7.11187231075102,21.8764912768043,1.22221272308758e-17,2.22748268782712e-13,27.4001053101209,NA,NA
"2818","AFFX-r2-Bs-dap-M_at",11.0465251181437,6.84718306916684,21.2604963933249,2.38556320112888e-17,3.26076670054303e-13,26.9281725289313,NA,NA
"2813","AFFX-PheX-3_at",7.92334367850459,7.56780132014326,20.3627532925659,6.52740454915388e-17,7.13771687449977e-13,26.2027047144608,NA,NA
"2815","AFFX-PheX-M_at",8.59946996456052,6.09845231248501,19.5913941010966,1.60071465398973e-16,1.25027248152698e-12,25.5412714663895,NA,NA
"2828","AFFX-ThrX-3_at",10.1168284067741,7.15496865467879,19.6778082389875,1.44544099661218e-16,1.25027248152698e-12,25.6172028009736,NA,NA
"2804","AFFX-DapX-M_at",9.36361863134129,7.36297421831629,18.4320057827933,6.54816626420296e-16,4.47526238119121e-12,24.4752467141637,NA,NA
"2830","AFFX-ThrX-M_at",7.73616992881578,6.37874263443342,16.9515409530805,4.44538150876849e-15,2.70056926657686e-11,22.9753571345685,NA,NA
"2812","AFFX-LysX-M_at",7.8944064606613,5.92974707353784,15.7335296340412,2.39806814272723e-14,1.31114375703611e-10,21.6107060317296,NA,NA
"2822","AFFX-r2-Bs-phe-3_at",8.42496279962747,7.52231118851218,15.637705422655,2.75060642255038e-14,1.3671764195722e-10,21.4979114613563,NA,NA
"2817","AFFX-r2-Bs-dap-5_at",7.98005387601337,5.51049379086628,15.0097747737853,6.87635998444675e-14,3.13304151791355e-10,20.737994108863,NA,NA
"2810","AFFX-LysX-3_at",8.15504351999779,7.73256239706943,14.7865248446268,9.59630694106982e-14,4.03598524617686e-10,20.4588799343686,NA,NA
"2824","AFFX-r2-Bs-phe-M_at",8.02518741599516,6.51094442652295,14.1746536272549,2.44348989118402e-13,9.54270070003475e-10,19.6687906602648,NA,NA
"2819","AFFX-r2-Bs-lys-3_at",7.52341188645967,6.89953753836623,14.1154071616615,2.67947342840423e-13,9.7666806465334e-10,19.590281272039,NA,NA
"2803","AFFX-DapX-5_at",7.30419865785069,5.92118430797356,13.4974408185904,7.14055697442155e-13,2.44006220360311e-09,18.7494554148541,NA,NA
"2814","AFFX-PheX-5_at",6.55163354950466,5.05401061013197,12.7319949405717,2.52543215541792e-12,8.12223547632203e-09,17.6500420055338,NA,NA
"2827","AFFX-r2-Bs-thr-M_s_at",8.02340523097834,6.82125723963115,12.5666533155414,3.34263490791804e-12,1.0153253532801e-08,17.4037582544087,NA,NA
"2829","AFFX-ThrX-5_at",5.86413598948613,4.9763796500444,12.4732960813967,3.92067716972444e-12,1.1282264434457e-08,17.2632763071944,NA,NA
"1445","216550_x_at",3.11090004806826,8.78457272206325,11.7930512862233,1.28797816568172e-11,3.52101031043241e-08,16.2078462918129,"ANKRD12","ankyrin repeat domain 12"
"1878","225197_at",-2.27673483041061,8.50713616752611,-11.7347797777191,1.42937516425058e-11,3.7214803383524e-08,16.1147739696357,NA,NA
"2821","AFFX-r2-Bs-lys-M_at",7.87356023403797,6.00138769392961,11.5989841702611,1.82469075488828e-11,4.53477122834168e-08,15.8962102896001,NA,NA
"1728","222633_at",2.62618346517526,9.79488565125358,11.078166239987,4.74379378766649e-11,1.12768228408985e-07,15.0358939545145,NA,NA
"2306","235149_at",2.79920087058434,8.58434110388618,10.8685990727511,7.02848486637202e-11,1.60117670862037e-07,14.6796282947426,NA,NA
