"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05012","Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","58/608","271/9564",0.214022140221402,3.3666245872985,10.2974068990551,7.24400278761225e-17,2.36154490876159e-14,1.67755854028915e-14,"4705/11315/203068/51079/5689/5691/7846/10376/3831/5692/7316/84790/51465/29796/5719/5567/5707/801/805/4694/10383/7345/4700/5710/10381/5682/7416/5717/4729/5695/539/4137/1340/291/4725/506/4723/374291/6647/7311/816/4714/1327/7385/4706/509/3709/3800/4722/6622/65018/7157/5705/5700/7384/5690/6389/498",58
"hsa05016","Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","59/608","311/9564",0.189710610932476,2.98419783381283,9.2686335006496,1.29983009370157e-14,2.11872305273357e-12,1.50506642428603e-12,"4705/203068/3092/10540/51079/5689/5691/7846/10376/3831/5692/1387/84790/29796/5719/2033/5707/4694/10383/2892/4700/5710/10381/841/5682/7416/5717/4729/5695/539/1340/291/4725/506/4723/374291/161/1211/6647/5439/4714/5332/1327/7385/4706/509/3800/4722/1173/7157/2915/5705/5700/1385/7384/5690/6389/498/10671",59
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","75/608","483/9564",0.15527950310559,2.44258744687806,8.4769710762616,1.85520623755059e-13,2.01599077813831e-11,1.43208902547765e-11,"4705/11315/203068/488/3092/1452/10540/51079/5689/5691/7846/10376/3831/5692/3845/7316/84790/51465/29796/5719/5707/801/805/4694/10383/2892/7345/4700/5710/10381/841/5682/7416/5717/4729/5695/539/4137/1340/291/4725/506/4723/374291/1855/6647/1499/7311/816/4714/5332/1327/7385/4706/1856/509/3709/3800/81631/351/4722/7415/5861/6622/65018/9896/2915/5705/5700/7384/5690/6389/324/498/10671",75
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","62/608","371/9564",0.16711590296496,2.62877713150802,8.33703861233347,1.06598684572909e-12,7.66314771205629e-11,5.4436309223519e-11,"60/4705/203068/10540/51079/5689/5691/7846/10376/3831/5692/310/84790/71/29796/5719/6432/5707/9883/100101267/4694/220988/10383/4700/5710/10381/5682/7416/5717/4729/5695/539/1340/4725/506/4723/374291/6647/10762/4714/1327/7385/23064/311/4706/509/3800/81631/4722/7415/5861/65018/9896/56893/7157/5705/5700/7384/5690/6389/498/10671",62
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","64/608","391/9564",0.163682864450128,2.57477453223852,8.28405339799813,1.17532940368962e-12,7.66314771205629e-11,5.4436309223519e-11,"10313/4705/203068/488/1452/51079/5689/5691/7846/10376/3831/5692/3845/84790/2597/29796/5719/5707/801/805/4694/10383/4700/5710/10381/841/5682/7416/5717/4729/5695/539/4137/1340/291/4725/506/4723/374291/1855/1499/4714/5332/1327/7385/25825/4706/1856/509/3709/5295/3800/351/4722/55851/6622/2915/5705/5700/7384/5690/6389/324/498",64
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","51/608","278/9564",0.183453237410072,2.88576770162817,8.31357992730799,3.43808149688716e-12,1.86802427997536e-10,1.32697882335996e-10,"4705/203068/51079/5689/5691/7846/10376/3831/5692/84790/29796/5719/5567/5707/4694/10383/4700/5710/10381/5682/7416/5717/4729/5695/539/1340/291/4725/506/4723/374291/6647/3312/4714/1327/7385/4706/509/3709/5295/3800/4722/5705/5700/858/1385/7384/5880/5690/6389/498",51
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","41/608","235/9564",0.174468085106383,2.74442889137738,7.05442272561664,2.37459838208164e-09,1.10588438936945e-07,7.8558141963603e-08,"60/4705/51079/3845/71/29796/8289/5567/6597/23028/4694/4700/108/6599/4729/539/1340/4725/506/4723/374291/4714/1327/7385/55744/9658/1268/4706/509/5565/4722/25915/6655/2260/10632/5571/1385/7384/6389/498/6601",41
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","27/608","138/9564",0.195652173913043,3.07766018306636,6.40533970666425,1.22144223882801e-07,4.97737712322414e-06,3.53575384923897e-06,"4705/51079/29796/4694/51606/4700/4729/523/539/1340/4725/506/4723/374291/4714/1327/7385/529/23545/4706/509/4722/537/10632/7384/6389/498",27
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","34/608","205/9564",0.165853658536585,2.6089216944801,6.06720877790756,2.02320364216244e-07,7.32849319272173e-06,5.20590410848815e-06,"4705/5160/488/51079/5590/2597/29796/4694/4700/7416/4729/539/142/1340/291/4725/506/4723/374291/5499/816/4714/5332/1327/7385/4706/509/5295/4722/7042/7384/5880/6389/498",34
"hsa01200","Metabolism","Global and overview maps","hsa01200","Carbon metabolism","24/608","117/9564",0.205128205128205,3.22672064777328,6.31398483553024,2.45320269841885e-07,7.99744079684545e-06,5.68110098581208e-06,"2746/5160/6888/2597/5213/10873/2821/7086/2026/230/3419/2805/1738/4191/50/5723/55753/226/48/5226/2023/5631/6389/1892",24
